Country.Code,Country.Name,Education.Level.PC1,Education.Level.PC2,EG_ELC_ACCS_ZS,EN_POP_SLUM_UR_ZS,FB_ATM_TOTL_P5,IC_ELC_TIME,IC_FRM_ISOC_ZS,IC_TAX_TOTL_CP_ZS,IQ_WEF_PORT_XQ,IT_NET_USER_P2,SE_ADT_1524_LT_MA_ZS,SE_XPD_TOTL_GD_ZS,SG_VAW_BURN_ZS,SH_DYN_AIDS_ZS,SH_DYN_MORT,SH_MED_PHYS_ZS,SH_TBS_PREV,SH_XPD_PCAP,SL_EMP_TOTL_SP_ZS,SL_TLF_SECO_ZS,SL_TLF_TOTL_IN,SN_ITK_DEFC_ZS,SP_POP_DPND,TM_TAX_MANF_SM_FN_ZS,UIS_EA_2_AG25T99,UIS_PTRHC_2,UIS_PTRHC_3,UIS_PTRHC_56,School.Years.PC1,School.Years.PC2,Edu.Literacy.PC1,Edu.Literacy.PC2,Pupils.Teacher.PC1,Pupils.Teacher.PC2,Cluster
JOR,Jordan,0.160969666358799,-0.586763957082174,99.5,12.9,32.49915078,50,6.8,29.5,3.995273429,44,99.0397,4.94514,1.8,2.71460674157303,17.9,2.558,7.3,358.9124715,37.20000076,22.39999962,1771679,5,65.62757736,9.14,32.75651,19.93281,11.86462,24.63368,0.517714604003741,2.24953955325274,1.70179207910585,0.258233154411719,2.76090096908158e-002,-0.694059364284251,2
LBY,Libya,-1.26406398289368e-016,2.02413491694831e-016,100,35.2,3.961501695,118,18.6212962962963,32.8,2.6,17.76,99.96664,2.26417,9.45344827586207,2.71460674157303,13.4,1.9,73,371.7218704,42.59999847,36.7028846604423,2324217,13.7244444444444,51.81501757,0,17.2916997526606,18.1653428099174,4.77599,23.87041,-1.53920336139168,3.40892575385913,1.38798864550236,0.161301480474676,0.932144771511726,-1.06617135496303,2
LKA,Sri Lanka,-0.290508144493173,-0.521569237344401,88.66256,24.8,17.05897531,100,9.1,55.2,4.275085791,25.8,98.36408,1.72398,9.45344827586207,0.1,9.8,0.68,99,127.3317445,52.40000153,16,8576325,22,50.81987389,6.68,44.38174,16.50786,18.16489,45.2221,3.19896443792979,1.3486754685577,1.37493284578382,1.46415841486141e-002,-1.25871765890674,-2.3185169665508,2
MAR,Morocco,-1.26406398289368e-016,2.02413491694831e-016,100,13.1,25.82532288,57,18.2,49.1,4.777542232,56.8,96.59858,5.3758,23.6,0.1,27.6,0.62,137,190.0539696,45.5,11.60000038,12498273,5,50.1649476,9.1,17.2916997526606,19.92836,17.8864,21.38427,-6.43237530925176,0.436790189209863,-0.482781921697046,-0.279086853811273,-0.475510715073313,-5.94211926881467e-002,2
MDV,Maldives,-4.68686415524516,1.57013978108664,100,39.4148148148148,31.00072732,91,18.6212962962963,30.2,4.08418031936923,49.28,100,5.16456,6.3,2.71460674157303,8.6,1.415,56,1165.12515,59.40000153,36.7028846604423,195149,5.2,47.72735645,20.6,10.01308,5.79197,8.37785,1.87179,-5.64894793410787,2.4703730945183,1.91036230137521,0.454313948437435,2.31407123145386,0.832786471784009,2
MEX,Mexico,-1.92026346866139,-1.71702873300302,99.1,11.1,48.99324553,78.9,24,51.7,4.306431712,44.39,98.66958,5.1462,9.45344827586207,0.2,13.2,2.095,27,677.1899867,58.59999847,45,55561477,5,52.37575045,7.56,24.91464,19.00555,15.84233,9.236,0.279243603894433,1.39372881285554,1.4835571005317,0.170142242567154,0.308595111783528,0.916546509458203,2
MNG,Mongolia,1.85782091476323,-1.49558259240014,89.76256,42.7,58.77598649,79,15.9,24.4,1.388599312,27,98.05015,4.60903,3.3,2.71460674157303,22.4,2.837,227,195.3334787,60.29999924,24.29999924,1328054,20.5,46.80481057,4.95,17.14018,21.08535,19.4939,19.71697,1.72868706353101,-0.223496074502375,1.76597076904171,0.223539333430878,-0.65629172742792,0.213304439794344,2
MUS,Mauritius,-1.32047072929932,0.812805822271893,100,39.4148148148148,44.75015557,81,11.1,22.4,4.748386113,41.44,98.36182,4.98984,9.45344827586207,0.9,13.5,1.057,35,482.4541727,54.09999847,39.79999924,592300,5,40.79566492,0.98,10.52814,18.1653428099174,15.549878907563,30.38818,0.676565551794033,2.57459499968167,1.23280682475528,-3.78321459065524e-002,-0.480151384797235,-1.06144078764937,2
MYS,Malaysia,0.2151704575688,9.69058596246375e-002,100,39.4148148148148,51.90798746,32,54.1,40,5.565850905,67.5,98.33574,6.29209,9.45344827586207,0.5,7,1.198,135,455.8255255,58.40000153,43.59999847,13300027,5,45.02130805,8.32,17.31331,17.17389,17.62781,16.17493,2.19515116641241,3.45364184045223,1.47648335743018,0.182917701601374,-4.25355064450348e-002,0.332641203166525,2
NIC,Nicaragua,-1.26406398289368e-016,2.02413491694831e-016,77.9,45.5,11.37917247,55,15.5,63.9,2.838179278,17.6,89.65285,4.49311,4.5,0.3,22.1,0.897,74,177.4628952,60.29999924,34.79999924,2657353,16.6,55.00015464,4.86,17.2916997526606,29.33434,34.71449,15.32962,-3.16312816049802,0.352273679423055,9.48090438205642e-002,-0.939956577638977,-2.65482508461194,1.680158610849,2
